PDB_ID,E2_UniProtIDs,E3_UniProtIDs,Ub_UniProtIDs,Number_of_Distinct_Protein_Entities,Resolution_Method,Refinement_Resolution,Release_Date,Nonpolymer_Entities,Entity_ID,Source_Organism,Gene_Name,Macromolecule_Name,Accession_Codes,EC_Number,E2_Gene_Names,E3_Gene_Names,ubiquitin_in_structure
4BHW,,Q09472,,1.0,X-ray refinement,2.799,4/8/2013,"ZINC ION,[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3R,20R)-20-carbamoyl-3-hydroxy-2,2-dimethyl-4,8,14,22-tetraoxo-12-thia-5,9,15,21-tetraazatricos-1-yl dihydrogen diphosphate",1,1:HOMO SAPIENS,,1:HISTONE ACETYLTRANSFERASE P300,1:Q09472,1:2.3.1.48,,EP300,No
5LKU,,Q09472,,1.0,X-ray refinement,3.5,7/25/2016,"COENZYME A,ZINC ION",1,1:Homo sapiens,"1:EP300, P300","1:Histone acetyltransferase p300,Histone acetyltransferase p300",1:Q09472,"1:2.3.1.48,2.3.1.48",,EP300,No
5LKX,,Q09472,,1.0,X-ray refinement,2.52,7/25/2016,"DIMETHYL SULFOXIDE,GLYCEROL,ZINC ION,propionyl Coenzyme A",1,1:Homo sapiens,"1:EP300, P300","1:Histone acetyltransferase p300,Histone acetyltransferase p300",1:Q09472,"1:2.3.1.48,2.3.1.48",,EP300,No
5LKT,,Q09472,,1.0,X-ray refinement,2.04,7/24/2016,"Butyryl Coenzyme A,CHLORIDE ION,DIMETHYL SULFOXIDE,GLYCEROL,ZINC ION",1,1:Homo sapiens,"1:EP300, P300","1:Histone acetyltransferase p300,Histone acetyltransferase p300",1:Q09472,"1:2.3.1.48,2.3.1.48",,EP300,No
5NU5,,Q09472,,1.0,X-ray refinement,1.6,4/28/2017,"1,2-ETHANEDIOL,~{N}-[[2,8-bis(oxidanyl)naphthalen-1-yl]methyl]-4-ethanoyl-3-ethyl-5-methyl-1~{H}-pyrrole-2-carboxamide",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
6DS6,,Q09472,,1.0,X-ray refinement,1.95,6/13/2018,"CHLORIDE ION,ZINC ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone H3 peptide-Histone acetyltransferase p300 Chimeric protein,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
5LPM,,Q09472,,1.0,X-ray refinement,1.5,8/13/2016,"ACETATE ION,~{N}-[(1~{S},2~{S})-7-chloranyl-2-oxidanyl-1,2,3,4-tetrahydronaphthalen-1-yl]-4-ethanoyl-3-ethyl-5-methyl-1~{H}-pyrrole -2-carboxamide",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
5LKZ,,Q09472,,1.0,X-ray refinement,2.5,7/25/2016,"CROTONYL COENZYME A,GLYCEROL,ZINC ION",1,1:Homo sapiens,"1:EP300, P300","1:Histone acetyltransferase p300,Histone acetyltransferase p300",1:Q09472,"1:2.3.1.48,2.3.1.48",,EP300,No
5LPK,,Q09472,,1.0,X-ray refinement,2.1,8/13/2016,"1,2-ETHANEDIOL,SULFATE ION,TETRAETHYLENE GLYCOL,~{N}-[(3-chlorophenyl)methyl]-4-ethanoyl-3-ethyl-5-methyl-1~{H}-pyrrole-2-carboxamide",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
6PF1,,Q09472,,1.0,X-ray refinement,2.32,6/21/2019,"3-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]-2-methyl-1H-indole,COENZYME A",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
6V8B,,Q09472,,1.0,X-ray refinement,3.13,12/10/2019,"4-(2-{[(1R)-2-(1H-indol-3-yl)-2-oxo-1-phenylethyl]amino}ethyl)benzene-1-sulfonamide,CHLORIDE ION,SULFATE ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
6V8K,,Q09472,,1.0,X-ray refinement,1.84,12/11/2019,"1-(2-methyl-1H-indol-3-yl)-2-[(2R)-2-methylpiperidin-1-yl]ethan-1-one,COENZYME A,DIMETHYL SULFOXIDE",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
6V90,,Q09472,,1.0,X-ray refinement,2.04,12/12/2019,"(2R)-2-{[2-(4-cyanophenyl)ethyl]amino}-N-[5-(1-methyl-1H-pyrazol-4-yl)pyridin-2-yl]-2-phenylacetamide,CHLORIDE ION,SULFATE ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
6V8N,,Q09472,,1.0,X-ray refinement,2.3,12/11/2019,"(2R)-2-{[(2S)-2-(4-cyanophenyl)propyl]amino}-N-[5-(1-methyl-1H-pyrazol-4-yl)pyridin-2-yl]-2-phenylacetamide,CHLORIDE ION,SULFATE ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
6PGU,,Q09472,,1.0,X-ray refinement,1.72,6/24/2019,"COENZYME A,N-(thiophen-2-yl)acetamide",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
7SSK,,Q09472,,1.0,X-ray refinement,2.36,11/11/2021,"1,2-ETHANEDIOL,ACETATE ION,N-[2-(4-methoxyanilino)-2-oxoethyl]-N-methyl-1-phenylcyclopentane-1-carboxamide,ZINC ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
7SZQ,,Q09472,,1.0,X-ray refinement,2.8,11/29/2021,"1-[1-(4-chlorophenyl)cyclopentane-1-carbonyl]-N-1H-pyrazolo[4,3-b]pyridin-5-yl-D-prolinamide",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
7SS8,,Q09472,,1.0,X-ray refinement,2.15,11/10/2021,"1,2-ETHANEDIOL,1-[1-(4-chlorophenyl)cyclopentane-1-carbonyl]-N-{[3-(methylcarbamoyl)phenyl]methyl}-D-prolinamide,ZINC ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
7LJE,,Q09472,,1.0,X-ray refinement,2.607,1/29/2021,"2-[4-[(3'R,4S)-3'-fluoro-1-[2-[(4-fluorophenyl)methyl-[(1S)-2,2,2-trifluoro-1-methyl-ethyl]amino]-2-oxo-ethyl]-2,5-dioxo-spiro[imidazolidine-4,1'-indane]-5'-yl]pyrazol-1-yl]-N-methyl-acetamide",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
6GYR,,Q09472,,1.0,X-ray refinement,3.1,7/1/2018,"ZINC ION,[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3R,20R)-20-carbamoyl-3-hydroxy-2,2-dimethyl-4,8,14,22-tetraoxo-12-thia-5,9,15,21-tetraazatricos-1-yl dihydrogen diphosphate",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
7UGI,,Q09472,,1.0,X-ray refinement,2.0,3/24/2022,"(3M)-4-{[(2S)-2-(3-chlorophenyl)-2-hydroxyethyl]amino}-3-[4-methyl-6-(morpholin-4-yl)-1H-benzimidazol-2-yl]pyridin-2(1H)-one,1,2-ETHANEDIOL,3,6,9,12,15,18,21,24-OCTAOXAHEXACOSAN-1-OL",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
7VI0,,Q09472,,1.0,X-ray refinement,2.1,9/24/2021,"(4S)-N-(3H-indazol-4-yl)-3-[1-(4-methoxyphenyl)cyclopentyl]carbonyl-1,1-bis(oxidanylidene)-1,3-thiazolidine-4-carboxamide,ZINC ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
7VHY,,Q09472,,1.0,X-ray refinement,2.3,9/24/2021,"ZINC ION,[(6R)-6-(1H-indazol-4-ylmethyl)-1,4-oxazepan-4-yl]-[1-(4-methoxyphenyl)cyclopentyl]methanone",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
7VHZ,,Q09472,,1.0,X-ray refinement,2.0,9/24/2021,"(2R)-N-(2H-indazol-4-yl)-1-[1-(4-methoxyphenyl)cyclopentyl]carbonyl-pyrrolidine-2-carboxamide,ZINC ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
8FVF,,Q09472,,1.0,X-ray refinement,2.1,1/18/2023,"(6S)-1-[3,4-bis(fluoranyl)phenyl]-6-[5-(3,5-dimethyl-1,2-oxazol-4-yl)-1-(4-methoxycyclohexyl)benzimidazol-2-yl]piperidin-2-one,1,2-ETHANEDIOL,NICKEL (II) ION,SULFATE ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
9JEJ,,Q09472,,1.0,X-ray refinement,2.9,9/3/2024,ZINC ION,1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
9JUT,,Q09472,,1.0,X-ray refinement,2.13,10/8/2024,"(6~{S})-1-(3-chloranyl-4-methoxy-phenyl)-6-[4-(3-methyl-1,2-benzoxazol-5-yl)-1-[(2~{S})-2-morpholin-4-ylpropyl]imidazol-2-yl]piperidin-2-one",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.-",,EP300,No
8GZC,,Q09472,,1.0,X-ray refinement,2.0,9/26/2022,"(2~{R},4~{R})-4-fluoranyl-1-[1-(4-methoxyphenyl)cyclohexyl]carbonyl-~{N}-(1~{H}-pyrazolo[4,3-b]pyridin-5-yl)pyrrolidine-2-carboxamide,ZINC ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,"1:2.3.1.48,2.3.1.48",,EP300,No
3T92,,Q09472,,1.0,X-ray refinement,1.5,8/2/2011,"3,3',3''-phosphanetriyltripropanoic acid,ACETONE,TRIS(HYDROXYETHYL)AMINOMETHANE,ZINC ION",1,1:Homo sapiens,"1:EP300, P300",1:HISTONE ACETYLTRANSFERASE P300 TAZ2-CCAAT/ENHANCER-BINDING PROTEIN EPSILON,"1:Q09472,Q15744",1:2.3.1.48,,EP300,No
3I3J,,Q09472,,1.0,X-ray refinement,2.33,6/30/2009,"CHLORIDE ION,DI(HYDROXYETHYL)ETHER,SULFATE ION",1,1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300,1:Q09472,1:2.3.1.48,,EP300,No
7XFG,,Q09472,,2.0,,,4/1/2022,ZINC ION,"1, 2",1:Homo sapiens,"1:EP300, P300",1:Histone acetyltransferase p300|2:NUT family member 1,1:Q09472|2:Q86Y26,"1:2.3.1.48,2.3.1.-",,EP300,No
7XEZ,,Q09472,,1.0,,,3/31/2022,ZINC ION,1,1:Homo sapiens,"1:EP300, P300","1:Histone acetyltransferase p300,NUT family member 1","1:Q09472,Q86Y26","1:2.3.1.48,2.3.1.-",,EP300,No
3P57,,Q09472,,4.0,X-ray refinement,2.1921,10/8/2010,ZINC ION,"1, 2, 3, 4",1:Homo sapiens|4:Homo sapiens,"1:MEF2, MEF2A|4:EP300, P300",1:Myocyte-specific enhancer factor 2A|2:DNA (5'-D(*A*AP*AP*CP*TP*AP*TP*TP*TP*AP*TP*AP*AP*GP*A)-3')|3:DNA (5'-D(*TP*TP*CP*TP*TP*AP*TP*AP*AP*AP*TP*AP*GP*TP*T)-3')|4:Histone acetyltransferase p300,1:Q02078|4:Q09472,4:2.3.1.48,,EP300,No
6FGS,,Q09472,,1.0,,,1/11/2018,ZINC ION,1,1:Homo sapiens,"1:EP300, P300","1:Histone acetyltransferase p300,Tumor protein p73","1:Q09472,O15350","1:2.3.1.48,2.3.1.-",,EP300,No
2MH0,,Q09472,,2.0,,,11/12/2013,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:TCF3, BHLHB21, E2A, ITF1|2:EP300, P300",1:Transcription factor E2-alpha|2:Histone acetyltransferase p300,1:P15923|2:Q09472,2:2.3.1.48,,EP300,No
8E1D,,Q09472,,2.0,,,8/10/2022,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:MITF, BHLHE32|2:EP300, P300",1:Microphthalmia-associated transcription factor|2:Histone acetyltransferase p300,1:O75030|2:Q09472,"2:2.3.1.48,2.3.1.-",,EP300,No
6FGN,,Q09472,,1.0,,,1/11/2018,ZINC ION,1,1:Homo sapiens,"1:EP300, P300","1:Histone acetyltransferase p300,Tumor protein 63","1:Q09472,Q9H3D4","1:2.3.1.48,2.3.1.-",,EP300,No
7W9V,,Q09472,,7.0,EM: FSC 0.143 CUT-OFF,3.95,12/10/2021,,"1, 2, 3, 4, 5, 6, 7",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|7:Homo sapiens,"1:H3C1, H3FA, HIST1H3A, H3C2, H3FL, HIST1H3B, H3C3, H3FC HIST1H3C, H3C4, H3FB, HIST1H3D, H3C6, H3FD, HIST1H3E, H3C7, H3FI, HIST1H3F, H3C8, H3FH, HIST1H3G, H3C10, H3FK, HIST1H3H, H3C11, H3FF, HIST1H3I, H3C12, H3FJ, HIST1H3J|2:H4C1, H4/A, H4FA, HIST1H4A, H4C2, H4/I, H4FI, HIST1H4B, H4C3, H4/G, H4FG, HIST1H4C, H4C4, H4/B, H4FB, HIST1H4D, H4C5, H4/J, H4FJ, HIST1H4E, H4C6, H4/C, H4FC, HIST1H4F, H4C8, H4/H, H4FH, HIST1H4H, H4C9, H4/M, H4FM, HIST1H4I, H4C11, H4/E, H4FE, HIST1H4J, H4C12, H4/D, H4FD, HIST1H4K, H4C13, H4/K, H4FK, HIST1H4L, H4C14, H4/N, H4F2, H4FN, HIST2H4, HIST2H4A, H4C15, H4/O, H4FO, HIST2H4B, H4-16, HIST4H4|3:H2AC4, H2AFM, HIST1H2AB, H2AC8, H2AFA, HIST1H2AE|4:H2BC11, H2BFR, HIST1H2BJ|7:EP300, P300",1:Histone H3.1|2:Histone H4|3:Histone H2A type 1-B/E|4:Histone H2B type 1-J|5:DNA (145-MER)|6:DNA (145-MER)|7:Histone acetyltransferase p300,1:P68431|2:P62805|3:P04908|4:P06899|7:Q09472,"7:2.3.1.48,2.3.1.-,2.3.1.48,2.3.1.-",,EP300,No
1P4Q,,Q09472,,2.0,,,4/23/2003,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,1:CITED2 OR MRG1|2:EP300 OR P300,1:Cbp/p300-interacting transactivator 2|2:E1A-associated protein p300,1:Q99967|2:Q09472,2:2.3.1.48,,EP300,No
8HAG,,Q09472,,6.0,EM: FSC 0.143 CUT-OFF,3.2,10/26/2022,,"1, 2, 3, 4, 5, 6",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens,"1:H3C1, H3FA, HIST1H3A, H3C2, H3FL, HIST1H3B, H3C3, H3FC HIST1H3C, H3C4, H3FB, HIST1H3D, H3C6, H3FD, HIST1H3E, H3C7, H3FI, HIST1H3F, H3C8, H3FH, HIST1H3G, H3C10, H3FK, HIST1H3H, H3C11, H3FF, HIST1H3I, H3C12, H3FJ, HIST1H3J|3:H2AC4, H2AFM, HIST1H2AB, H2AC8, H2AFA, HIST1H2AE|4:HIST1H2BJ, H2BFR|5:EP300, P300",1:Histone H3.1|2:Histone H4|3:Histone H2A type 1-B/E|4:Histone H2B type 1-J|5:Histone acetyltransferase p300|6:DNA (180-mer),1:P68431|3:P04908|4:P06899|5:Q09472,"5:2.3.1.48,2.3.1.-",,EP300,No
8HAH,,Q09472,,6.0,EM: FSC 0.143 CUT-OFF,3.9,10/26/2022,,"1, 2, 3, 4, 5, 6",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens,"1:H3C1, H3FA, HIST1H3A, H3C2, H3FL, HIST1H3B, H3C3, H3FC HIST1H3C, H3C4, H3FB, HIST1H3D, H3C6, H3FD, HIST1H3E, H3C7, H3FI, HIST1H3F, H3C8, H3FH, HIST1H3G, H3C10, H3FK, HIST1H3H, H3C11, H3FF, HIST1H3I, H3C12, H3FJ, HIST1H3J|3:H2AC4, H2AFM, HIST1H2AB, H2AC8, H2AFA, HIST1H2AE|4:H2BC11, H2BFR, HIST1H2BJ|6:EP300, P300",1:Histone H3.1|2:Histone H4|3:Histone H2A type 1-B/E|4:Histone H2B type 1-J|5:DNA (180-mer)|6:Histone acetyltransferase p300,1:P68431|3:P04908|4:P06899|6:Q09472,"6:2.3.1.48,2.3.1.-",,EP300,No
8HAI,,Q09472,,6.0,EM: FSC 0.143 CUT-OFF,4.7,10/26/2022,,"1, 2, 3, 4, 5, 6",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens,"1:H3C1, H3FA, HIST1H3A, H3C2, H3FL, HIST1H3B, H3C3, H3FC HIST1H3C, H3C4, H3FB, HIST1H3D, H3C6, H3FD, HIST1H3E, H3C7, H3FI, HIST1H3F, H3C8, H3FH, HIST1H3G, H3C10, H3FK, HIST1H3H, H3C11, H3FF, HIST1H3I, H3C12, H3FJ, HIST1H3J|3:H2AC4, H2AFM, HIST1H2AB, H2AC8, H2AFA, HIST1H2AE|4:H2BC11, H2BFR, HIST1H2BJ|5:EP300, P300",1:Histone H3.1|2:Histone H4|3:Histone H2A type 1-B/E|4:Histone H2B type 1-J|5:Histone acetyltransferase p300|6:DNA (180-mer),1:P68431|3:P04908|4:P06899|5:Q09472,"5:2.3.1.48,2.3.1.-",,EP300,No
8HAJ,,Q09472,,6.0,EM: FSC 0.143 CUT-OFF,4.8,10/26/2022,,"1, 2, 3, 4, 5, 6",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens,"1:H3C1, H3FA, HIST1H3A, H3C2, H3FL, HIST1H3B, H3C3, H3FC HIST1H3C, H3C4, H3FB, HIST1H3D, H3C6, H3FD, HIST1H3E, H3C7, H3FI, HIST1H3F, H3C8, H3FH, HIST1H3G, H3C10, H3FK, HIST1H3H, H3C11, H3FF, HIST1H3I, H3C12, H3FJ, HIST1H3J|3:H2AC4, H2AFM, HIST1H2AB, H2AC8, H2AFA, HIST1H2AE|4:H2BC11, H2BFR, HIST1H2BJ|6:EP300, P300",1:Histone H3.1|2:Histone H4|3:Histone H2A type 1-B/E|4:Histone H2B type 1-J|5:DNA (180-mer)|6:Histone acetyltransferase p300,1:P68431|3:P04908|4:P06899|6:Q09472,"6:2.3.1.48,2.3.1.-",,EP300,No
9MZA,,Q09472,,2.0,X-ray refinement,2.1,1/22/2025,"1-{1-[5-({1-[5-chloro-4-({8-methoxy-1-methyl-3-[2-(methylamino)-2-oxoethoxy]-2-oxo-1,2-dihydroquinolin-6-yl}amino)pyrimidin-2-yl]piperidine-4-carbonyl}amino)pentanoyl]piperidin-4-yl}-3-[(6M)-7-(difluoromethyl)-6-(1-methyl-1H-pyrazol-4-yl)-3,4-dihydroquinolin-1(2H)-yl]-N-methyl-1,4,6,7-tetrahydro-5H-pyrazolo[4,3-c]pyridine-5-carboxamide","1, 2",1:Homo sapiens|2:Homo sapiens,"1:BCL6, BCL5, LAZ3, ZBTB27, ZNF51|2:EP300, P300",1:B-cell lymphoma 6 protein|2:Histone acetyltransferase p300,1:P41182|2:Q09472,"2:2.3.1.48,2.3.1.-",,EP300,No
8HAK,,Q09472,,6.0,EM: FSC 0.143 CUT-OFF,4.5,10/26/2022,,"1, 2, 3, 4, 5, 6",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens,"1:H3C1, H3FA, HIST1H3A, H3C2, H3FL, HIST1H3B, H3C3, H3FC HIST1H3C, H3C4, H3FB, HIST1H3D, H3C6, H3FD, HIST1H3E, H3C7, H3FI, HIST1H3F, H3C8, H3FH, HIST1H3G, H3C10, H3FK, HIST1H3H, H3C11, H3FF, HIST1H3I, H3C12, H3FJ, HIST1H3J|3:H2AC4, H2AFM, HIST1H2AB, H2AC8, H2AFA, HIST1H2AE|4:H2BC11, H2BFR, HIST1H2BJ|6:EP300, P300",1:Histone H3.1|2:Histone H4|3:Histone H2A type 1-B/E|4:Histone H2B type 1-J|5:DNA (180-mer)|6:Histone acetyltransferase p300,1:P68431|3:P04908|4:P06899|6:Q09472,"6:2.3.1.48,2.3.1.-",,EP300,No
5XZC,,Q09472,,2.0,X-ray refinement,10.7,7/12/2017,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:EP300, P300|2:TP53, P53",1:Histone acetyltransferase p300|2:Cellular tumor antigen p53,1:Q09472|2:P04637,1:2.3.1.48,,EP300,No
2K8F,,Q09472,,2.0,,,9/8/2008,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:EP300, P300|2:TP53, P53",1:Histone acetyltransferase p300|2:Cellular tumor antigen p53,1:Q09472|2:P04637,1:2.3.1.48,,EP300,No
7QGS,,Q09472,,2.0,X-ray refinement,2.0,12/10/2021,ZINC ION,"1, 2",2:Homo sapiens,2:EP300,"1:Cbp/p300-interacting transactivator 2,Hypoxia-inducible factor 1-alpha|2:Histone acetyltransferase","1:Q99967,Q16665|2:Q7Z6C1",2:2.3.1.48,,EP300,No
8BD9,,Q9UPN9,,1.0,X-ray refinement,3.2,10/18/2022,"1,3-dimethylbenzimidazol-2-one,CALCIUM ION,ZINC ION",1,1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33,1:Q9UPN9,1:2.3.2.27,,TRIM33,No
8BD8,,Q9UPN9,,1.0,X-ray refinement,3.1,10/18/2022,"1,3-dimethylbenzimidazol-2-one,CALCIUM ION,ZINC ION",1,1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33,1:Q9UPN9,1:2.3.2.27,,TRIM33,No
8BDY,,Q9UPN9,,1.0,X-ray refinement,3.05,10/20/2022,"1,3-dimethylbenzimidazol-2-one,CALCIUM ION,ZINC ION",1,1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33,1:Q9UPN9,1:2.3.2.27,,TRIM33,No
7ZDD,,Q9UPN9,,2.0,X-ray refinement,1.625,3/29/2022,"1,2-ETHANEDIOL,ZINC ION","1, 2",1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33|2:Histone H3.X,1:Q9UPN9|2:P0DPK5,1:6.3.2.-,,TRIM33,No
5MR8,,Q9UPN9,,2.0,X-ray refinement,1.74,12/21/2016,ZINC ION,"1, 2",1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33|2:Histone H3,1:Q9UPN9|2:Q5TEC6,1:6.3.2.-,,TRIM33,No
3U5N,,Q9UPN9,,2.0,X-ray refinement,1.95,10/11/2011,ZINC ION,"1, 2",1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33|2:Histone H3.1,1:Q9UPN9|2:P68431,1:6.3.2.-,,TRIM33,No
2MZD,,Q09472,,2.0,,,2/11/2015,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:EP300, P300|2:TP53, P53",1:Histone acetyltransferase p300|2:Cellular tumor antigen p53,1:Q09472|2:P04637,1:2.3.1.48,,EP300,No
1L3E,,Q09472,,2.0,,,2/26/2002,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,1:hypoxia inducible factor-1 alpha|2:p300,1:hypoxia inducible factor-1 alpha subunit|2:p300 protein,1:Q16665|2:Q09472,,,EP300,No
1LIQ,,Q92793,,1.0,,,4/18/2002,ZINC ION,1,,,1:CREB Binding Protein,1:Q92793,,,CREBBP,No
1WO3,,Q92793,,1.0,,,8/12/2004,ZINC ION,1,,,1:CREB Binding Protein,1:Q92793,1:2.3.1.48,,CREBBP,No
3U5O,,Q9UPN9,,2.0,X-ray refinement,2.7,10/11/2011,ZINC ION,"1, 2",1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33|2:Histone H3.1,1:Q9UPN9|2:P68431,1:6.3.2.-,,TRIM33,No
1WO4,,Q92793,,1.0,,,8/12/2004,ZINC ION,1,,,1:CREB Binding Protein,1:Q92793,1:2.3.1.48,,CREBBP,No
3U5P,,Q9UPN9,,2.0,X-ray refinement,2.8,10/11/2011,ZINC ION,"1, 2",1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33|2:Histone H3.1,1:Q9UPN9|2:P68431,1:6.3.2.-,,TRIM33,No
1WO6,,Q92793,,1.0,,,8/12/2004,ZINC ION,1,,,1:CREB Binding Protein,1:Q92793,1:2.3.1.48,,CREBBP,No
3U5M,,Q9UPN9,,1.0,X-ray refinement,3.08,10/11/2011,"CALCIUM ION,ZINC ION",1,1:Homo sapiens,"1:TRIM33, KIAA1113, RFG7, TIF1G",1:E3 ubiquitin-protein ligase TRIM33,1:Q9UPN9,1:6.3.2.-,,TRIM33,No
1WO5,,Q92793,,1.0,,,8/12/2004,ZINC ION,1,,,1:CREB Binding Protein,1:Q92793,1:2.3.1.48,,CREBBP,No
2D82,,Q92793,,1.0,,,12/1/2005,"9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE",1,1:Homo sapiens,,1:CREB-binding protein,1:Q92793,1:2.3.1.48,,CREBBP,No
1WO7,,Q92793,,1.0,,,8/12/2004,ZINC ION,1,,,1:CREB Binding Protein,1:Q92793,1:2.3.1.48,,CREBBP,No
3DWY,,Q92793,,1.0,X-ray refinement,1.98,7/23/2008,"1,2-ETHANEDIOL",1,1:Homo sapiens,"1:CREBBP, CBP",1:CREB-binding protein,1:Q92793,1:2.3.1.48,,CREBBP,No
3P1D,,Q92793,,1.0,X-ray refinement,1.86,9/30/2010,"1-methylpyrrolidin-2-one,POTASSIUM ION,THIOCYANATE ION",1,1:Homo sapiens,1:CREBBP,1:CREB-binding protein,1:Q92793,1:2.3.1.48,,CREBBP,No
3P1C,,Q92793,,1.0,X-ray refinement,1.82,9/30/2010,"N(6)-ACETYLLYSINE,POTASSIUM ION,THIOCYANATE ION",1,1:Homo sapiens,"1:CBP, CREBBP",1:CREB-binding protein,1:Q92793,1:2.3.1.48,,CREBBP,No
